SS,YYYY,MM,DD,HR,MIN,mm/dd/yyy,JULIAN,WEEK,StartTime,Sunrise_Time,JDY_GSS,NUM_DAYS_GSS,MIN_SUN
CL:C-001-2:1,1998,6,8,5,50,1998-06-08,159,24,1900-01-00,1/0/1900,110,49,54
CL:C-001-2:1,1998,6,18,7,55,1998-06-18,169,25,1900-01-00,1/0/1900,110,59,182
CL:C-001-2:1,1998,6,30,5,27,1998-06-30,181,27,1900-01-00,1/0/1900,110,71,30
CL:C-001-2:1,1999,5,18,6,4,1999-05-18,138,21,1900-01-00,1/0/1900,110,28,43
CL:C-001-2:1,1999,5,28,7,26,1999-05-28,148,22,1900-01-00,1/0/1900,110,38,140
CL:C-001-2:1,1999,6,6,5,34,1999-06-06,157,24,1900-01-00,1/0/1900,110,47,37
CL:C-001-2:1,1999,6,17,6,53,1999-06-17,168,25,1900-01-00,1/0/1900,110,58,120
CL:C-001-2:1,1999,6,28,5,32,1999-06-28,179,27,1900-01-00,1/0/1900,110,69,36
CL:C-001-2:1,2000,5,19,5,56,2000-05-19,140,21,1900-01-00,1/0/1900,110,30,38
CL:C-001-2:1,2000,5,29,5,39,2000-05-29,150,23,1900-01-00,1/0/1900,110,40,35
CL:C-001-2:1,2000,6,7,5,35,2000-06-07,159,24,1900-01-00,1/0/1900,110,49,39
CL:C-001-2:1,2000,6,18,8,3,2000-06-18,170,26,1900-01-00,1/0/1900,110,60,190
CL:C-001-2:1,2000,6,27,6,3,2000-06-27,179,27,1900-01-00,1/0/1900,110,69,67
CL:C-001-2:1,2001,5,17,6,52,2001-05-17,137,20,1900-01-00,1/0/1900,110,27,91
CL:C-001-2:1,2001,5,27,5,53,2001-05-27,147,22,1900-01-00,1/0/1900,110,37,46
CL:C-001-2:1,2001,6,8,6,33,2001-06-08,159,23,1900-01-00,1/0/1900,110,49,98
CL:C-001-2:1,2001,6,27,5,44,2001-06-27,178,26,1900-01-00,1/0/1900,110,68,48
CL:C-001-2:1,2001,7,1,6,6,2001-07-01,182,27,1900-01-00,1/0/1900,110,72,68
CL:C-001-2:1,2002,5,19,6,24,2002-05-19,139,21,1900-01-00,1/0/1900,110,29,66
CL:C-001-2:1,2002,5,29,7,43,2002-05-29,149,22,1900-01-00,1/0/1900,110,39,159
CL:C-001-2:1,2002,6,8,6,8,2002-06-08,159,23,1900-01-00,1/0/1900,110,49,72
CL:C-001-2:1,2002,6,19,7,48,2002-06-19,170,25,1900-01-00,1/0/1900,110,60,175
CL:C-001-2:1,2002,6,26,6,2,2002-06-26,177,26,1900-01-00,1/0/1900,110,67,67
CL:C-001-2:1,2003,5,20,6,6,2003-05-20,140,21,1900-01-00,1/0/1900,110,30,49
CL:C-001-2:1,2003,5,31,5,59,2003-05-31,151,22,1900-01-00,1/0/1900,110,41,57
CL:C-001-2:1,2003,6,12,5,36,2003-06-12,163,24,1900-01-00,1/0/1900,110,53,42
CL:C-001-2:1,2003,6,18,7,25,2003-06-18,169,25,1900-01-00,1/0/1900,110,59,152
CL:C-001-2:1,2003,6,28,9,2,2003-06-28,179,26,1900-01-00,1/0/1900,110,69,246
CL:C-001-2:1,2004,5,20,6,22,2004-05-20,141,21,1900-01-00,1/0/1900,110,31,66
CL:C-001-2:1,2004,6,1,8,22,2004-06-01,153,23,1900-01-00,1/0/1900,110,43,201
CL:C-001-2:1,2004,6,10,7,45,2004-06-10,162,24,1900-01-00,1/0/1900,110,52,171
CL:C-001-2:1,2004,6,20,8,38,2004-06-20,172,26,1900-01-00,1/0/1900,110,62,225
CL:C-001-2:1,2004,6,30,5,48,2004-06-30,182,27,1900-01-00,1/0/1900,110,72,50
CL:C-001-2:1,2005,5,20,6,43,2005-05-20,140,21,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2005,5,28,9,34,2005-05-28,148,22,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2005,6,8,5,22,2005-06-08,159,24,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2005,6,18,8,35,2005-06-18,169,25,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2005,6,28,5,24,2005-06-28,179,27,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2006,5,21,7,27,2006-05-21,141,21,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2006,5,30,5,37,2006-05-30,150,22,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2006,6,10,7,17,2006-06-10,161,23,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2006,6,20,5,43,2006-06-20,171,25,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2006,6,29,6,29,2006-06-29,180,26,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2007,5,20,5,57,2007-05-20,140,21,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2007,5,30,8,51,2007-05-30,150,22,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2007,6,9,5,12,2007-06-09,160,23,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2007,6,20,8,35,2007-06-20,171,25,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2007,7,2,5,21,2007-07-02,183,27,1900-01-00,1/0/1900,0,0,0
CL:C-001-2:1,2008,5,28,11,1,2008-05-28,148,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2008,6,4,5,29,2008-06-04,155,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2008,6,19,9,28,2008-06-19,170,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2009,6,3,7,7,2009-06-03,154,23,1900-01-00,NA,0,0,0
CL:C-001-2:1,2009,6,9,6,29,2009-06-09,160,24,1900-01-00,NA,0,0,0
CL:C-001-2:1,2009,6,21,6,49,2009-06-21,172,26,1900-01-00,NA,0,0,0
CL:C-001-2:1,2009,6,28,5,48,2009-06-28,179,27,1900-01-00,NA,0,0,0
CL:C-001-2:1,2010,6,3,5,0,2010-06-03,154,23,1900-01-00,NA,0,0,0
CL:C-001-2:1,2010,6,9,6,48,2010-06-09,160,24,1900-01-00,NA,0,0,0
CL:C-001-2:1,2010,6,15,7,14,2010-06-15,166,25,1900-01-00,NA,0,0,0
CL:C-001-2:1,2010,6,20,8,36,2010-06-20,171,26,1900-01-00,NA,0,0,0
CL:C-001-2:1,2010,6,22,8,46,2010-06-22,173,26,1900-01-00,NA,0,0,0
CL:C-001-2:1,2011,5,31,9,40,2011-05-31,151,23,1900-01-00,NA,0,0,0
CL:C-001-2:1,2011,6,7,5,58,2011-06-07,158,24,1900-01-00,NA,0,0,0
CL:C-001-2:1,2011,6,11,7,42,2011-06-11,162,24,1900-01-00,NA,0,0,0
CL:C-001-2:1,2011,6,23,6,7,2011-06-23,174,26,1900-01-00,NA,0,0,0
CL:C-001-2:1,2012,5,30,5,2,2012-05-30,150,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2012,6,7,5,58,2012-06-07,158,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2012,6,13,6,48,2012-06-13,164,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2012,6,23,5,40,2012-06-23,174,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2013,6,6,8,5,2013-06-06,157,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2013,6,16,8,24,2013-06-16,167,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2013,6,23,6,35,2013-06-23,174,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2013,6,28,8,27,2013-06-28,179,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2014,5,29,7,12,2014-05-29,149,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2014,6,18,6,58,2014-06-18,169,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2014,6,29,9,55,2014-06-29,180,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2015,6,4,8,44,2015-06-04,155,NA,1900-01-00,NA,NA,NA,NA
CL:C-001-2:1,2015,6,13,7,4,2015-06-13,164,NA,1900-01-00,NA,NA,NA,NA
